store_name,overall_score,one_line_summary,main_strengths,main_weaknesses,caution_points,recommended_menus,menu_reactions,recent_trend,recommended_customer,not_recommended_customer,final_summary
무대뽀핫도그 성대점,5.0,무대뽀 핫도그는 바삭한 식감과 고소한 맛으로 사랑받는 핫도그 전문점입니다.,"['바삭한 식감', '고소한 맛', '친절한 서비스', '가성비']",[],[],"[{'menu': '감자 핫도그', 'reason': '바삭하고 고소한 맛으로 많은 고객들에게 사랑받고 있습니다.', 'confidence': 0.9447165211041768}, {'menu': '옥수수 핫도그', 'reason': '톡톡 터지는 알갱이와 담백한 맛이 조화를 이루고 있습니다.', 'confidence': 0.9722043871879578}, {'menu': '라면 핫도그', 'reason': '고소함과 식감이 뛰어나며, 맥주 안주로도 적합합니다.', 'confidence': 0.7461389899253845}, {'menu': '스노우 핫도그', 'reason': '달콤 짭짤한 가루와 소스의 조화가 완벽합니다.', 'confidence': 0.9722043871879578}]","[{'menu': '감자 핫도그', 'positive_reaction': '고소하고 바삭한 식감이 일품입니다.', 'negative_or_caution_reaction': '없음'}, {'menu': '옥수수 핫도그', 'positive_reaction': '톡톡 터지는 알갱이의 고소함이 좋습니다.', 'negative_or_caution_reaction': '없음'}, {'menu': '라면 핫도그', 'positive_reaction': '고소함과 식감이 뛰어나며, 안주로 좋습니다.', 'negative_or_caution_reaction': '없음'}, {'menu': '스노우 핫도그', 'positive_reaction': '달콤 짭짤한 조화가 완벽합니다.', 'negative_or_caution_reaction': '없음'}]",최근 리뷰에서 긍정적인 반응이 지속적으로 이어지고 있습니다.,핫도그를 좋아하는 모든 고객,특별한 메뉴나 고급 요리를 찾는 고객,"무대뽀 핫도그 성대점은 바삭한 식감과 고소한 맛으로 많은 고객들에게 사랑받고 있으며, 친절한 서비스와 가성비 또한 높이 평가받고 있는 핫도그 전문점입니다."
편백회관 천천점,5.0,"편백회관 천천점은 맛있는 음식과 친절한 서비스, 쾌적한 환경을 제공하는 식당입니다.","['맛있는 음식', '청결한 매장', '친절한 서비스', '신선한 재료', '가성비 좋은 무한리필']",[],[],"[{'menu': '편백찜', 'reason': '고객들이 맛있다고 극찬하며 재방문 의사를 표현했습니다.', 'confidence': 0.986971402168274}, {'menu': '샤브샤브', 'reason': '신선한 재료와 무한리필로 인기가 높습니다.', 'confidence': 0.986971402168274}, {'menu': '월남쌈', 'reason': '고객들이 자주 언급하며 맛있다고 평가했습니다.', 'confidence': 0.986971402168274}]",[],"최근 리뷰에서 긍정적인 반응이 지속적으로 나타나고 있으며, 재방문 의사가 높습니다.","가족 단위 손님, 회식 모임을 원하는 고객",특별한 다이어트나 특정 음식 제한이 있는 고객,"편백회관 천천점은 맛과 서비스, 청결함에서 높은 평가를 받고 있으며, 신선한 재료와 가성비 좋은 메뉴로 고객들에게 긍정적인 경험을 제공합니다."
송담추어탕 본점,4.0,맛있는 추어탕과 쾌적한 식사 환경을 제공하는 인기 음식점.,"['추어탕의 뛰어난 맛', '쾌적한 매장 환경', '친절한 서비스', '메뉴의 다양성', '가격 대비 높은 가치']","['맛의 일관성 부족', '일부 고객의 기대에 미치지 못하는 경우']","['지점 간 맛의 차이', '특정 음식의 텁텁함']","[{'menu': '추어탕', 'reason': '리뷰에서 가장 많은 긍정적인 언급이 있으며, 맛이 뛰어나다고 평가됨.', 'confidence': 0.9}, {'menu': '솥밥', 'reason': '추어탕과 함께 추천되며, 맛있다는 평가가 많음.', 'confidence': 0.85}, {'menu': '돈가스', 'reason': '고객들이 맛있다고 언급하며, 다양한 메뉴 중 하나로 긍정적인 반응.', 'confidence': 0.8}]","[{'menu': '추어탕', 'positive_reaction': '맛이 뛰어나고 진한 국물.', 'negative_or_caution_reaction': '일부 고객은 맛의 일관성 부족을 언급.'}, {'menu': '솥밥', 'positive_reaction': '추어탕과 잘 어울리는 맛.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '돈가스', 'positive_reaction': '바삭하고 맛있다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}]","최근 리뷰에서 긍정적인 반응이 많으며, 특히 추어탕과 솥밥에 대한 언급이 두드러짐.","맛있는 음식을 찾는 고객, 쾌적한 식사 환경을 선호하는 고객.","맛의 일관성을 중시하는 고객, 특정 음식의 질에 민감한 고객.","송담추어탕 본점은 뛰어난 맛의 추어탕과 쾌적한 환경을 제공하며, 고객들에게 높은 만족도를 주고 있습니다. 그러나 일부 고객은 맛의 일관성에 대한 우려를 표명하고 있어 주의가 필요합니다."
비사이드 수원성대점,4.0,"맛있는 디저트와 커피, 쾌적한 분위기의 인기 카페.","['다양한 맛있는 디저트와 음료', '아늑한 카페 분위기', '업무 미팅에 적합한 환경']",[],['자주 품절되는 메뉴'],"[{'menu': '두쫀쿠', 'reason': '고객들이 극찬하는 인기 디저트', 'confidence': 0.944}, {'menu': '보늬밤라떼', 'reason': '달콤한 음료로 긍정적인 반응', 'confidence': 0.908}, {'menu': '쫀득 쿠키', 'reason': '맛있다는 리뷰가 많음', 'confidence': 0.925}]","[{'menu': '두쫀쿠', 'positive_reaction': '대존맛, 강추', 'negative_or_caution_reaction': '품절 문제'}, {'menu': '보늬밤라떼', 'positive_reaction': '아주 달달하게 잘먹었어요', 'negative_or_caution_reaction': ''}, {'menu': '쫀득 쿠키', 'positive_reaction': '존맛 강추', 'negative_or_caution_reaction': ''}]","긍정적인 리뷰가 지속적으로 증가하고 있으며, 고객들이 자주 방문하고 싶어하는 분위기.","디저트와 커피를 즐기는 고객, 업무 미팅을 원하는 고객",특정 메뉴를 원하지만 품절 문제에 실망할 고객,"비사이드 수원성대점은 맛있는 디저트와 커피, 쾌적한 분위기로 많은 고객들에게 사랑받고 있으며, 특히 두쫀쿠와 같은 인기 메뉴가 있습니다. 그러나 자주 품절되는 메뉴에 대한 주의가 필요합니다."
마장동 정육식당,4.0,"고기와 김치찌개가 일품인 맛집, 그러나 서비스 개선이 필요합니다.","['고기 질이 뛰어남', '김치찌개의 맛이 우수함', '친절한 서비스', '가성비 좋은 메뉴']","['서비스 태도에 대한 불만', '운영 시간 관련 문제']","['혼잡한 환경에서의 서비스 문제', '라스트 오더에 대한 불만']","[{'menu': '소갈비살', 'reason': '고기 육즙이 풍부하고 잡내가 없음', 'confidence': 0.95}, {'menu': '김치찌개', 'reason': '무제한 제공으로 맛과 양 모두 만족', 'confidence': 0.9}, {'menu': '점심특선', 'reason': '가성비가 뛰어나고 맛이 좋음', 'confidence': 0.85}]","[{'menu': '소갈비살', 'positive_reaction': '고기 질과 맛에 대한 높은 만족도', 'negative_or_caution_reaction': '특별한 언급 없음'}, {'menu': '김치찌개', 'positive_reaction': '무제한 제공으로 인한 긍정적인 반응', 'negative_or_caution_reaction': '특별한 언급 없음'}, {'menu': '비빔국수', 'positive_reaction': '일부 고객에게는 맛있다고 평가됨', 'negative_or_caution_reaction': '개인적인 입맛 차이로 싱겁다고 느끼는 고객도 있음'}]","긍정적인 리뷰가 많으며, 고기와 김치찌개에 대한 반응이 특히 좋음.","고기와 찌개를 좋아하는 고객, 가성비를 중시하는 고객","서비스 품질을 중시하는 고객, 혼잡한 환경을 싫어하는 고객","마장동 정육식당은 고기와 김치찌개가 뛰어난 맛집으로, 전반적으로 긍정적인 리뷰가 많지만 서비스 개선이 필요한 점이 있습니다. 가성비 좋은 메뉴와 친절한 서비스가 장점이며, 혼잡한 환경에서의 서비스 문제는 주의가 필요합니다."
포메인 천천점,5.0,쌀국수와 친절한 서비스로 고객들에게 높은 만족도를 주는 맛집.,"['쌀국수의 뛰어난 맛과 신선한 재료', '친절한 서비스와 깨끗한 매장', '빠른 음식 제공']",[],[],"[{'menu': '쌀국수', 'reason': '고객들이 쌀국수의 맛과 품질에 대해 매우 긍정적인 피드백을 주고 있습니다.', 'confidence': 0.982}, {'menu': '닭고기 덮밥', 'reason': '다양한 메뉴에서 긍정적인 반응이 있으며, 쌀국수와 함께 추천됩니다.', 'confidence': 0.95}, {'menu': '월남쌈', 'reason': '친절한 서비스와 함께 제공되는 메뉴로, 고객들이 맛있다고 언급했습니다.', 'confidence': 0.95}]","[{'menu': '쌀국수', 'positive_reaction': '고객들이 쌀국수의 맛과 신선함을 높이 평가하고 있습니다.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음'}, {'menu': '닭고기 덮밥', 'positive_reaction': '맛있다는 긍정적인 피드백이 있습니다.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음'}, {'menu': '월남쌈', 'positive_reaction': '고객들이 맛있고 만족스럽다고 언급했습니다.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음'}]","최근 리뷰에서도 긍정적인 피드백이 지속적으로 이어지고 있으며, 고객들의 재방문 의사가 높습니다.",쌀국수와 아시아 음식을 좋아하는 고객,특별한 비건 옵션을 찾는 고객,포메인 천천점은 쌀국수와 친절한 서비스로 고객들에게 높은 만족도를 주는 맛집입니다. 매장 분위기와 청결함도 우수하여 외식하기 좋은 장소입니다.
면식당 수원성균관대점,5.0,맛과 가성비가 뛰어난 대학가 맛집으로 혼밥하기 좋은 공간입니다.,"['음식의 맛', '가성비', '친절한 서비스', '깔끔한 매장', '혼밥에 적합한 분위기']",[],[],"[{'menu': '등심카츠', 'reason': '두툼하고 잘 튀겨져 맛있다는 리뷰가 많음.', 'confidence': 0.99}, {'menu': '냉소바', 'reason': '쫄깃하고 맛있다는 긍정적인 피드백이 많음.', 'confidence': 0.99}, {'menu': '돈코츠라멘', 'reason': '고소하고 면이 탱글탱글하다는 리뷰가 있음.', 'confidence': 0.99}, {'menu': '카레', 'reason': '깊고 진한 맛으로 호평받고 있음.', 'confidence': 0.99}]",[],"최근 리뷰에서 가성비와 맛, 서비스에 대한 긍정적인 언급이 지속적으로 이어지고 있음.","혼자 식사하는 대학생, 가족 단위 방문객",특별한 분위기를 원하는 고급 레스토랑을 찾는 고객,"면식당 수원성균관대점은 맛과 가성비가 뛰어나며, 혼밥하기에 적합한 공간으로 많은 고객들에게 긍정적인 평가를 받고 있습니다. 다양한 메뉴와 친절한 서비스로 재방문 의사가 높은 곳입니다."
보리네주먹고기,5.0,"저렴한 가격에 맛있는 고기를 제공하며, 친절한 서비스로 고객의 재방문 의사를 높이는 고기집.","['고기 맛과 질이 뛰어남', '저렴한 가격', '친절한 서비스', '편안한 분위기']",[],[],"[{'menu': '삼겹살', 'reason': '고기 질이 좋고 육즙이 풍부하여 많은 고객들이 추천함.', 'confidence': 0.95}, {'menu': '주먹고기', 'reason': '부드럽고 잘 구워져서 고객들에게 높은 평가를 받음.', 'confidence': 0.95}, {'menu': '된장찌개', 'reason': '고기와 잘 어울리며 맛있다는 리뷰가 많음.', 'confidence': 0.9}, {'menu': '등심덧살', 'reason': '부드럽고 맛있다는 평이 많아 추천됨.', 'confidence': 0.85}]","[{'menu': '삼겹살', 'positive_reaction': '고기 질이 좋고 맛있다는 긍정적인 리뷰가 많음.', 'negative_or_caution_reaction': ''}, {'menu': '주먹고기', 'positive_reaction': '부드럽고 육즙이 풍부하다는 긍정적인 반응.', 'negative_or_caution_reaction': ''}, {'menu': '된장찌개', 'positive_reaction': '맛있고 고기와 잘 어울린다는 긍정적인 반응.', 'negative_or_caution_reaction': ''}, {'menu': '등심덧살', 'positive_reaction': '부드럽고 맛있다는 긍정적인 반응.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서도 고기 맛과 서비스에 대한 긍정적인 언급이 지속적으로 이어지고 있으며, 재방문 의사가 높음.","고기 맛을 중시하는 고객, 가성비 좋은 식사를 원하는 고객.",고기 맛에 대한 기대가 높은 고객이지만 부정적인 경험을 원하지 않는 고객.,"보리네주먹고기는 뛰어난 고기 맛과 친절한 서비스로 많은 고객들에게 사랑받고 있으며, 저렴한 가격으로 가성비 좋은 식사를 제공합니다. 특히 삼겹살과 주먹고기가 추천 메뉴로, 고객들의 재방문 의사가 높습니다."
오서산콩국수 수원점,5.0,콩국수의 진한 맛과 조화로운 반찬이 돋보이는 맛집.,"['콩국수의 진하고 고소한 맛', '부드러운 콩물과 특이한 면의 식감', '겉절이와 장아찌의 조화로운 맛', '친절한 서비스']",[],[],"[{'menu': '콩국수', 'reason': '진하고 크리미한 맛으로 많은 찬사를 받고 있음.', 'confidence': 0.963}, {'menu': '겉절이', 'reason': '콩국수와 잘 어울리는 맛으로 긍정적인 반응이 많음.', 'confidence': 0.963}, {'menu': '장아찌', 'reason': '콩국수와의 조화로 추천됨.', 'confidence': 0.963}]","[{'menu': '콩국수', 'positive_reaction': '진하고 고소하며 부드러운 맛으로 많은 리뷰에서 극찬.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '겉절이', 'positive_reaction': '콩국수와 잘 어울린다는 긍정적인 언급.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '장아찌', 'positive_reaction': '콩국수와의 조화로 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}]","최근 리뷰에서도 지속적으로 높은 긍정적인 반응을 보이며, 여름철에 자주 찾는 맛집으로 자리잡고 있음.",콩국수와 겉절이를 좋아하는 고객.,콩국수의 진한 맛을 선호하지 않는 고객.,오서산콩국수 수원점은 진하고 고소한 콩국수와 조화로운 반찬으로 많은 고객들에게 사랑받고 있는 맛집입니다. 친절한 서비스와 함께 행복한 식사 경험을 제공합니다.
스타벅스 수원성균관대점,5.0,쾌적한 분위기와 친절한 서비스로 고객들에게 사랑받는 카페.,"['커피 품질과 추천', '음료 및 디저트의 맛', '쾌적한 카페 분위기', '친절한 직원 서비스']",[],[],"[{'menu': '커피', 'reason': '고객들이 추가로 주문하거나 추천하는 긍정적인 경험이 많음.', 'confidence': 0.936}, {'menu': '유자민트티', 'reason': '음료의 맛에 대한 긍정적인 언급이 많음.', 'confidence': 0.892}, {'menu': '아이스 카페라떼', 'reason': '음료의 맛에 대한 긍정적인 언급이 많음.', 'confidence': 0.989}, {'menu': '레드빈빙수', 'reason': '디저트의 맛에 대한 긍정적인 언급이 포함됨.', 'confidence': 0.893}, {'menu': '제주 말차 크림 프라푸치노', 'reason': '고객의 취향에 맞춘 커스터마이징 경험이 긍정적으로 언급됨.', 'confidence': 0.892}]","[{'menu': '커피', 'positive_reaction': '추가커피한잔, 커피추천요~', 'negative_or_caution_reaction': ''}, {'menu': '유자민트티', 'positive_reaction': '유자민트티 짱맛!', 'negative_or_caution_reaction': ''}, {'menu': '아이스 카페라떼', 'positive_reaction': '아이스 카페라떼 맛나요', 'negative_or_caution_reaction': ''}, {'menu': '레드빈빙수', 'positive_reaction': '맛은 쏘쏘했어요~', 'negative_or_caution_reaction': ''}, {'menu': '제주 말차 크림 프라푸치노', 'positive_reaction': '말차의 씁쓸함과 두유로 바꿔서 더 꼬숩고 중간중간 자바칩이 식감 역할이 좋았어요.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서 긍정적인 경험이 지속적으로 언급되고 있으며, 고객들이 매장의 분위기와 서비스에 대해 높은 만족도를 보이고 있음.","편안한 분위기에서 작업이나 독서를 원하는 고객, 친절한 서비스를 선호하는 고객.",특별한 메뉴나 독특한 경험을 찾는 고객.,"스타벅스 수원성균관대점은 쾌적한 분위기와 친절한 서비스로 고객들에게 높은 만족도를 제공하며, 다양한 음료와 디저트의 맛이 긍정적으로 평가되고 있습니다."
